"Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AITool","Employment"
"umhlanga campus","it","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","html/css;javascript;typescript","bigquery;elasticsearch;mongodb;postgresql","amazon web services (aws);firebase;heroku;netlify;vercel","express;gatsby;nestjs;next.js;node.js;react","information services, it, software development, or other technology","chatgpt","github copilot;synk code;tabnine;whispr ai","employed, full-time;independent contractor, freelancer, or self-employed"
"umhlanga campus","it","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","html/css;java;javascript;python;sql;typescript","cloud firestore;mongodb;mysql;postgresql;sqlite","amazon web services (aws);firebase;google cloud;heroku;netlify;vercel","angular;express;nestjs;react","healthcare","bing ai;chatgpt","aws codewhisperer;codeium;tabnine","not employed, but looking for work"
"nelson mandela bay campus","computer science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#;html/css;javascript;kotlin;powershell;python;sql;typescript","cosmos db;microsoft sql server;mysql;redis","digital ocean;microsoft azure;netlify","asp.net core;node.js;vue.js","information services, it, software development, or other technology","chatgpt","codeium;github copilot;synk code","employed, full-time"
"pretoria campus","computer science","i am a developer by profession","developer, back-end","master’s degree (m.a., m.s., m.eng., mba, etc.)","bash/shell (all shells);dart;go;haskell;html/css;java;javascript;kotlin;php;sql;typescript","cassandra;dynamodb;elasticsearch;h2;mariadb;mongodb;mysql;oracle;postgresql;redis;sqlite","amazon web services (aws);microsoft azure","angular;express;spring boot","insurance","chatgpt","tabnine;whispr ai","employed, full-time"
"nelson mandela bay campus","computer science","i am a developer by profession","developer, front-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","javascript;php;ruby;typescript","mysql","amazon web services (aws);cloudflare;netlify","laravel;next.js;react;ruby on rails","advertising services","chatgpt","aws codewhisperer;github copilot;synk code","employed, full-time"
"tyger valley campus","computer science","i am a developer by profession","developer, back-end","master’s degree (m.a., m.s., m.eng., mba, etc.)","clojure;php","mariadb;sqlite;supabase","","","other","","aws codewhisperer;codeium;github copilot;synk code;tabnine","employed, full-time"
"pretoria campus","it","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);c;c#;c++;html/css;java;javascript;php;powershell;python;r;scala;sql;typescript","oracle;postgresql;redis;sqlite","amazon web services (aws);digital ocean;microsoft azure","django;fastapi;flask;jquery;node.js;vue.js;wordpress","legal services","chatgpt;wolframalpha","adrenaline;github copilot;rubber duck.ai;tabnine","employed, full-time"
"umhlanga campus","it","i am a developer by profession","developer, back-end","associate degree (a.a., a.s., etc.)","elixir;go;java;javascript;php;ruby","mysql;postgresql;redis","amazon web services (aws);digital ocean;google cloud;microsoft azure;vmware","jquery;node.js;spring boot;wordpress","wholesale","chatgpt","codeium;github copilot;synk code","employed, full-time"
"pretoria campus","it","i am not primarily a developer, but i write code sometimes as part of my work/studies","security professional","bachelor’s degree (b.a., b.s., b.eng., etc.)","go;javascript;python","sqlite","amazon web services (aws)","","legal services","chatgpt","aws codewhisperer;codeium;github copilot;mintlify","employed, full-time"
"midrand campus","computer science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);go;html/css;javascript;python;sql;typescript","postgresql","amazon web services (aws);cloudflare;google cloud;netlify","next.js;node.js;react;vue.js","retail and consumer services","","aws codewhisperer","employed, full-time"
"umhlanga campus","it","i am a developer by profession","developer, back-end","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","java;javascript;lua;python;sql;typescript","cassandra;h2;mariadb;mysql;postgresql;sqlite","amazon web services (aws);heroku;hetzner","angularjs;node.js;spring boot","oil & gas","chatgpt","adrenaline;tabnine","employed, full-time"
"umhlanga campus","data science","i am not primarily a developer, but i write code sometimes as part of my work/studies","developer, back-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","html/css;php;sql","bigquery;mariadb;mongodb;mysql","cloudflare;google cloud","","oil & gas","chatgpt","github copilot;replit ghostwriter;whispr ai","employed, full-time"
"umhlanga campus","data science","i am a developer by profession","developer, full-stack","some college/university study without earning a degree","c#;html/css;javascript;sql;typescript","elasticsearch;microsoft sql server;sqlite","microsoft azure","angular;asp.net;asp.net core;blazor;jquery","financial services","chatgpt;google bard ai","rubber duck.ai","employed, full-time"
"umhlanga campus","it","i am a developer by profession","developer, back-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#;java;javascript;kotlin;powershell;python;typescript","mariadb;mysql;redis","digital ocean;microsoft azure","asp.net core;flask;next.js;react","insurance","","aws codewhisperer;codeium;replit ghostwriter;synk code;tabnine","employed, full-time"
"pretoria campus","data science","i am a developer by profession","research & development role","bachelor’s degree (b.a., b.s., b.eng., etc.)","c;c++;python","","google cloud","","retail and consumer services","chatgpt;wolframalpha;you.com","synk code;tabnine;whispr ai","employed, full-time"
"umhlanga campus","computer science","i am a developer by profession","developer, front-end","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","html/css;javascript;php;typescript","mysql;supabase","netlify;vercel","jquery;node.js;nuxt.js;react;vue.js;wordpress","oil & gas","chatgpt","codeium;github copilot","employed, full-time"
"midrand campus","data science","i am learning to code","","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#;html/css;javascript;php;powershell;sql;typescript","mongodb;mysql","firebase;google cloud;microsoft azure;netlify;vercel;vmware","angular;angularjs;blazor;express;next.js;node.js;remix;svelte;vue.js;wordpress","information services, it, software development, or other technology","chatgpt","github copilot;rubber duck.ai","student, full-time"
"umhlanga campus","computer science","i code primarily as a hobby","research & development role","some college/university study without earning a degree","html/css;javascript;kotlin;php","h2;mariadb;mysql","","","other","","github copilot;replit ghostwriter","independent contractor, freelancer, or self-employed"
"pretoria campus","data science","i am a developer by profession","developer, back-end","master’s degree (m.a., m.s., m.eng., mba, etc.)","c#;html/css;javascript;powershell;sql;typescript","microsoft sql server","microsoft azure","angular;asp.net;asp.net core;node.js","oil & gas","","aws codewhisperer;codeium;github copilot;mintlify","employed, full-time"
"nelson mandela bay campus","computer science","i am learning to code","","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","c++;html/css;javascript;php;python;sql","mariadb","","flask","other","chatgpt;wolframalpha","aws codewhisperer;github copilot","student, full-time"
"umhlanga campus","computer science","i am a developer by profession","developer, mobile","bachelor’s degree (b.a., b.s., b.eng., etc.)","java;javascript;kotlin;sql;typescript","firebase realtime database;microsoft sql server;sqlite","","node.js;react;spring boot","healthcare","chatgpt","adrenaline;github copilot;rubber duck.ai;tabnine","employed, full-time"
"umhlanga campus","computer science","i am not primarily a developer, but i write code sometimes as part of my work/studies","student","bachelor’s degree (b.a., b.s., b.eng., etc.)","c;c++;java;julia;python;zig","","","","oil & gas","chatgpt","aws codewhisperer;github copilot;mintlify;tabnine","not employed, but looking for work;student, full-time"
"umhlanga campus","computer science","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","javascript;typescript","mongodb","amazon web services (aws);google cloud","angular;node.js","retail and consumer services","chatgpt","adrenaline;synk code;whispr ai","independent contractor, freelancer, or self-employed"
